L,method,method_label,energy,exact_energy,abs_delta_e,elapsed_s,gap_closure,gate_pass,gate_reason
2,exact,Exact (Sector),-0.8360571181551808,-0.8360571181551808,0.0,0.0,,True,reference_only
2,hf,Hartree-Fock Ref,4.5,-0.8360571181551808,5.336057118155181,0.0,0.0,True,reference_only
2,hardcoded_vqe,Hardcoded VQE (UCCSD),-0.8360571107052652,-0.8360571181551808,7.449915573332078e-09,0.24572054203599691,0.9999999986038539,True,ok
2,qiskit_vqe,Qiskit VQE (UCCSD),-0.8360571175951912,-0.8360571181551808,5.599896102381763e-10,3.940297083929181,0.9999999998950554,True,ok
2,adapt_uccsd_fixed,ADAPT-UCCSD (Fixed Sequence),-0.507936507927326,-0.8360571181551808,0.32812061022785477,16.270127417054027,0.9385087897370006,False,failed_fixed_uccsd_gate
2,adapt_uccsd_adapt,ADAPT-UCCSD (Adaptive),-0.5079365079354446,-0.8360571181551808,0.32812061021973615,6.4254655838012695,0.938508789738522,False,failed_adaptive_uccsd_gate
2,adapt_cse_adapt,ADAPT-CSE (Adaptive),-0.5063129706940825,-0.8360571181551808,0.32974414746109826,11.398488000035286,0.9382045318931856,True,ok
3,exact,Exact (Sector),-1.2360679774997887,-1.2360679774997887,0.0,0.0,,True,reference_only
3,hf,Hartree-Fock Ref,4.0,-1.2360679774997887,5.236067977499789,0.0,0.0,True,reference_only
3,hardcoded_vqe,Hardcoded VQE (UCCSD),-1.2360679739525189,-1.2360679774997887,3.547269811221554e-09,7.4347000839188695,0.9999999993225317,True,ok
3,qiskit_vqe,Qiskit VQE (UCCSD),-1.2360679395459395,-1.2360679774997887,3.7953849174598986e-08,73.66973329195753,0.9999999927514599,True,ok
3,adapt_uccsd_fixed,ADAPT-UCCSD (Fixed Sequence),-1.2213997768864533,-1.2360679774997887,0.014668200613335403,716.6269044168293,0.997198622959754,False,failed_fixed_uccsd_gate
3,adapt_uccsd_adapt,ADAPT-UCCSD (Adaptive),-0.4844353317658495,-1.2360679774997887,0.7516326457339392,6.756192167289555,0.8564509381918219,False,failed_adaptive_uccsd_gate
3,adapt_cse_adapt,ADAPT-CSE (Adaptive),-0.4844353317589021,-1.2360679774997887,0.7516326457408866,6.786923415958881,0.8564509381904951,False,failed_cse_relative_improvement_gate
