L,method,method_label,energy,exact_energy,abs_delta_e,elapsed_s,gap_closure,gate_pass,gate_reason
2,exact,Exact (Sector),-0.8360571181551808,-0.8360571181551808,0.0,0.0,,True,reference_only
2,hf,Hartree-Fock Ref,4.5,-0.8360571181551808,5.336057118155181,0.0,0.0,True,reference_only
2,hardcoded_vqe,Hardcoded VQE (UCCSD),-0.8360569689093553,-0.8360571181551808,1.492458254759299e-07,0.16141499998047948,0.9999999720306919,False,abs_delta_e_above_threshold
2,qiskit_vqe,Qiskit VQE (UCCSD),-0.8360571175951912,-0.8360571181551808,5.599896102381763e-10,4.717291332781315,0.9999999998950554,True,ok
2,adapt_uccsd_fixed,ADAPT-UCCSD (Fixed Sequence),-0.02082126306425465,-0.8360571181551808,0.8152358550909261,6.810901999939233,0.8472213027260893,False,failed_fixed_uccsd_gate
2,adapt_uccsd_adapt,ADAPT-UCCSD (Adaptive),-0.5063129706937265,-0.8360571181551808,0.3297441474614543,2.2076870407909155,0.9382045318931189,False,failed_adaptive_uccsd_gate
2,adapt_cse_adapt,ADAPT-CSE (Adaptive),-0.5063129706934043,-0.8360571181551808,0.3297441474617765,3.1737585836090147,0.9382045318930585,True,ok
3,exact,Exact (Sector),-1.2360679774997887,-1.2360679774997887,0.0,0.0,,True,reference_only
3,hf,Hartree-Fock Ref,4.0,-1.2360679774997887,5.236067977499789,0.0,0.0,True,reference_only
3,hardcoded_vqe,Hardcoded VQE (UCCSD),-1.2360678440293373,-1.2360679774997887,1.3347045135780888e-07,5.152910667005926,0.999999974509412,True,ok
3,qiskit_vqe,Qiskit VQE (UCCSD),-1.23604432181074,-1.2360679774997887,2.3655689048718287e-05,76.55123662529513,0.9999954821654052,False,abs_delta_e_above_threshold
3,adapt_uccsd_fixed,ADAPT-UCCSD (Fixed Sequence),4.0,-1.2360679774997887,5.236067977499789,5.662388750351965,0.0,False,failed_fixed_uccsd_gate
3,adapt_uccsd_adapt,ADAPT-UCCSD (Adaptive),3.0,-1.2360679774997887,4.236067977499789,3.341487166006118,0.1909830056250526,False,failed_adaptive_uccsd_gate
3,adapt_cse_adapt,ADAPT-CSE (Adaptive),2.999999999999999,-1.2360679774997887,4.236067977499788,3.8400945411995053,0.19098300562505277,False,failed_cse_relative_improvement_gate
